;tweetid;emoji;stance;emotion;toxic_multi
0;1442560319163969539;['📅', '🎙'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
1;1425103339969261582;['📑', '🌍'];believe;[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
2;1431964107922677764;['☁', '🌍', '😎'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
3;1438445287207485445;['👇'];believe;[1, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
4;1421839796687810564;['🌴', '🌲', '🌳'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
5;1445849642994855937;['👣', '⏰', '🧨', '🔫'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
6;1567321152384647171;['💯'];deny;[1, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
7;1432793815279017987;['🙌', '🌡️', '🔋'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
8;1432950115757604864;['📢'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
9;1435981975219757057;['💰'];believe;[0, 0, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 1, 0, 1, 0, 0, 0]
10;1431229823461040137;['🌴', '\U0001fac2', '🌍', '💚'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
11;1431631833205248000;['♟️'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
12;1429096945692332042;['⬇️', '👁'];ambiguous;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
13;1565664080437940225;['👇🏻'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
14;1423171582848024576;['💯'];ambiguous;[1, 0, 0, 1, 0, 1, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
15;1427411506518429700;['🥳'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
16;1425536537060642816;['👇', '☀', '😎'];ambiguous;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
17;1430977067865284611;['🙏', '✨'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
18;1443854555800813569;['🤬'];believe;[1, 0, 0, 0, 0, 0, 0, 1, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
19;1422753872456650753;['🌎'];ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
20;1430445993573629959;['🚲', '💚'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
21;1444996367990939650;['🙌', '💚'];believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
22;1430312897054453762;['☕', '🌎'];ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
23;1436706414152531975;['👏'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
24;1433859759724273682;['🌎'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
25;1443917213791043585;['🇵🇰'];believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
26;1433509246323277824;['☀️', '💞'];ambiguous;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
27;1460679120115752962;['🙄'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
28;1423936404199931909;['⬇️'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
29;1443956179235913735;['🙌🏼'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
30;1446068879172816897;['👇', '🌏', '✨', '🌱', '📝'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
31;1423739231633960962;['🌏', '🇳🇿', '😊', '💚'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
32;1433047530393194501;['🌎', '🌱'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
33;1436283389146013697;['\U0001fa7a', '🚑'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
34;1441747323952922635;['💙', '💚'];believe;[0, 1, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
35;1423950389540311040;['❤'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
36;1446076825298522114;['😍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
